feature_name,X,Y,Z,coord,val,gx,gy,gz,intrusion_contact_type,intrusion_side
Voiseys Bay Intrusion,555881.007,6243254.351,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,555987.86,6243137.224,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,556082.384,6242900.915,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,556193.347,6242816.665,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,556881.727,6242798.171,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,559757.125,6240965.232,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,556600.852,6241565.252,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,556432.353,6241696.764,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,556278.239,6241840.604,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,555986.448,6242241.303,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,555863.156,6242644.056,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,555645.34,6242997.493,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,555637.121,6243178.321,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,559896.856,6241244.693,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,558146.111,6242584.465,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,557866.649,6242744.745,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,558478.999,6242296.784,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,558873.533,6242498.161,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,559247.519,6241889.921,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,559543.419,6240710.428,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,558865.314,6240303.565,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,558499.548,6239941.909,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,558100.904,6239691.215,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,557344.713,6239674.776,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,557209.092,6239896.702,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,557324.165,6240270.687,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,557188.544,6240443.296,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,556937.85,6240899.476,0,,,,,,roof,TRUE
Voiseys Bay Intrusion,556888.533,6241400.863,0,,,,,,roof,TRUE
stratigraphy,555000,6243500,0,,1000,,,,,
stratigraphy,561000,6243500,0,,1000,,,,,
stratigraphy,555000,6240500,0,,1000,,,,,
stratigraphy,561000,6240500,0,,1000,,,,,
stratigraphy,555000,6243500,-500,,500,,,,,
stratigraphy,561000,6243500,-500,,500,,,,,
stratigraphy,555000,6240500,-500,,500,,,,,
stratigraphy,561000,6240500,-500,,500,,,,,
stratigraphy,555000,6243500,-1000,,0,,,,,
stratigraphy,561000,6243500,-1000,,0,,,,,
stratigraphy,555000,6240500,-1000,,0,,,,,
stratigraphy,561000,6240500,-1000,,0,,,,,
stratigraphy,558000,6242000,-1000,,,0,0,1,,
Voiseys Bay Intrusion Frame,558534.48,6240720.703,0,1,0,,,,,
Voiseys Bay Intrusion Frame,558534.48,6240720.703,0,1,,-0.85,0.53,0,,
Voiseys Bay Intrusion Frame,557572.804,6241550.868,0,1,,-0.85,0.53,0,,
Voiseys Bay Intrusion Frame,556397.421,6242578.301,0,1,,-0.56,0.83,0,,
Voiseys Bay Intrusion Frame,558534.48,6240720.703,0,2,,0.53,0.85,0,axis,
Voiseys Bay Intrusion Frame,557572.804,6241550.868,0,2,,0.53,0.85,0,axis,
Voiseys Bay Intrusion Frame,556397.421,6242578.301,0,2,,0.82,0.56,0,axis,
Voiseys Bay Intrusion Frame,558534.48,6240720.703,0,2,0,,,,axis,
Voiseys Bay Intrusion Frame,557572.804,6241550.868,0,2,0,,,,axis,
Voiseys Bay Intrusion Frame,556397.421,6242578.301,0,2,0,,,,axis,
Voiseys Bay Intrusion,556001.217,6242984.137,-127,,,,,,floor,
Voiseys Bay Intrusion,555997.107,6242864.954,-98.4,,,,,,floor,
Voiseys Bay Intrusion,555998.135,6242771.458,-73,,,,,,floor,
